Cell number,Location of the middle of cell in X axis (pixels),Location of the middle of cell in Y axis (pixels)
856,-291.8825505,-942.3024495
857,-285.0484948,-2225.533086
858,115.3996822,-2775.725082
859,-169.7480919,918.6164536
860,-100.8705257,-177.2171251
861,85.15287314,-2218.630397
862,-168.1042349,2857.266559
863,122.2023897,-2245.545018
864,-44.80966744,-1729.481727
865,81.64990756,-1171.68058
866,-182.9417948,-68.50463563
867,-358.1413372,384.2975733
868,-9.605899885,-1784.475908
869,-68.17399762,1611.986048
870,74.25225843,-1276.081078
871,338.3721622,-525.5415164
872,-328.5720698,438.0878775
873,-115.4195871,-1520.642982
874,132.2257947,1029.523902
875,150.6952507,48.07825526
876,105.1007931,-341.1534317
877,-221.3519119,-253.6294107
878,-149.2631518,2059.090099
879,-288.7156883,-1715.269577
880,-72.5169352,-482.1785457
881,-146.1712259,58.93120362
882,65.98553874,-2471.725732
883,-286.1047357,-2018.214771
884,-496.8130084,794.1656693
885,-411.7478064,-1903.450677
886,-260.5026726,1922.439061
887,-452.6905424,994.9300153
888,-494.7007483,571.1740516
889,-7.237998384,-1367.401405
890,-154.1068038,-1568.658228
891,-450.4829969,836.1480954
892,-155.813929,-1072.568874
893,-203.6305903,2436.57001
894,-185.5240462,-259.5236097
895,-255.7410363,1360.089803
896,-281.5486265,-160.4952941
897,-222.7037261,2731.657743
898,-56.45450946,853.1909701
899,-224.7218331,4.077900115
900,-252.7062142,-1900.242198
901,-493.5272302,1063.307374
902,110.2834767,45.50665741
903,-379.4331873,1964.809453
904,0.482300822,1411.768834
905,-386.2531861,1540.808933
906,-481.7134909,1525.185084
907,-37.74902059,444.1740515
908,93.81186317,1306.222251
909,-371.4794087,-1995.710448
910,39.57693594,1541.635559
911,4.647281219,-1478.313312
912,-75.11023766,-1436.281085
913,-218.7715769,2786.796645
914,160.8980904,-429.4466738
915,163.7868039,344.4535413
916,-56.47442007,-564.3216049
917,-121.2757778,2187.848099
