,A_11PM,A_3AM,A_7AM,A_11AM,A_3PM,A_7PM,B_11PM,B_3AM,B_7AM,B_11AM,B_3PM,B_7PM
npffl,0.176233,0.847069,0.515983,0.680429,0.551879,0.215804,0.0,0.613675,0.886138,0.648516,0.404481,0.295848
DDA1,17.8648,21.0828,28.3647,23.0883,25.1055,18.2408,19.6627,23.923,28.5118,32.6457,30.1329,24.0674
DDA1,10.6639,14.5737,12.4985,8.35788,7.63783,7.0559,14.964,18.0489,18.0579,11.6324,6.9336,9.61941
cyt1l,11.1384,9.03737,32.8032,57.2039,29.992,18.5291,12.2658,15.2971,20.0936,39.6273,33.7602,16.9678
zgc:154141,1.7082,4.02304,3.17537,1.60156,2.059,0.685026,3.27881,4.4893,4.20004,2.0885,2.22543,1.17668
LOC100148221,342.126,317.203,309.372,218.866,276.626,323.057,318.384,338.406,202.932,198.346,257.654,334.962
zgc:92127,4.35408,6.18704,10.1484,12.3877,6.94593,5.78692,6.8792,5.79194,8.69145,10.2803,8.29067,4.57984
zgc:136367,10.2253,7.13829,5.62806,5.64544,8.40308,8.68049,8.50892,9.08303,5.63914,7.80449,7.25085,8.21967
zgc:77057,25.3305,23.4785,10.9275,15.2289,13.3109,21.8766,22.7508,25.959,21.0856,11.8899,15.5358,13.7945
bhlhe40,2.92975,17.4695,273.211,157.415,135.08,30.221,4.82056,20.7681,243.232,228.305,168.351,87.2382
zgc:158258,1.56713,1.54886,0.728136,0.362751,0.684243,1.08882,1.46272,1.17698,0.168508,0.786501,0.573873,0.910017
ETNK2,7.40187,6.25475,3.98071,3.66385,5.24521,5.97289,7.01102,4.69451,4.17611,4.62293,6.17233,4.94711
CLDN19,89.0041,113.851,146.909,124.349,144.266,81.2662,104.587,122.405,133.457,154.523,152.184,116.584
wnt4a,19.4672,14.4462,10.9788,7.15216,8.43032,7.43429,14.019,17.5237,10.88,7.97302,11.3514,8.50539
per3,0.0120314,1.01529,3.85308,10.2166,1.96369,1.00794,0.125637,0.677132,4.73992,6.17546,2.37666,1.82061
tas1r3,0.0,0.0,0.128338,0.165729,0.0959266,0.042532,0.0,0.0,0.13436,0.245744,0.251441,0.08171
zgc:110388,1.50007,4.51964,7.58525,5.28081,4.44574,2.72054,2.12206,3.38426,6.02292,3.57385,4.69507,3.33981
CYYR1,91.6422,71.4931,66.1228,56.6699,100.126,96.6078,86.6599,86.244,50.9165,72.0353,92.6551,99.8271
gli2b,3.86207,6.24375,5.39979,3.55814,3.68207,2.29868,1.8264,5.05011,4.21413,3.80006,3.02155,2.25082
,204.116,89.723,234.318,512.038,603.409,212.519,158.687,101.653,235.794,764.814,769.998,488.625
zgc:171846,9.73837,9.80591,8.86951,6.76736,6.8956,6.94746,6.86722,9.07898,11.976,7.49485,4.32937,5.4231
NOC3L,3.11841,3.44542,5.79783,5.47919,3.97255,3.50148,3.2122,3.47041,3.5558,4.41934,4.9176,3.75054
phyhipl,5.18637,4.25361,9.20001,9.78356,6.64725,7.57553,2.71144,5.04472,9.60734,14.2459,8.10196,6.10104
HEATR1,21.9015,23.0464,20.3614,12.3013,16.1243,23.837,21.1234,22.0173,18.0193,14.344,20.514,20.9038
NHP2L1,9.01897,9.62232,13.226,14.507,11.4255,11.7062,8.66663,10.5778,10.7136,12.1671,12.8568,8.26078
TOP2A,4.0885,6.32836,2.0402,2.6368,1.40415,2.73517,3.33304,4.86876,1.93854,0.472948,1.89942,2.00502
Ppp1cc,24.3601,22.2816,20.2039,17.6063,20.723,21.8279,24.3431,21.3999,16.7513,18.9798,22.7849,22.8833
si:ch211-147h1.3,21.8053,22.8057,21.8092,12.8483,16.4151,18.0696,25.7399,20.2175,22.3988,17.8545,16.9658,18.2553
MTA3,14.538,13.6835,12.8616,9.84323,10.9228,13.7236,15.0905,12.6641,10.354,11.0354,11.2537,11.9853
ttll6,11.2923,6.91066,2.48809,3.06934,8.38636,9.61729,8.99172,6.18274,3.23024,3.17674,7.99739,9.53267
hoxb8b,0.790568,0.608228,0.301245,0.21622,0.250366,0.728553,1.49741,0.10357,0.329398,0.111964,0.231578,0.979404
ARL4D,26.74,23.6066,13.6964,12.0244,12.8489,15.7158,22.8482,21.68,13.1708,10.772,12.7252,11.2387
bms1l,2.11383,2.95061,4.50831,5.18307,3.84127,3.50313,2.99454,2.76898,4.55899,4.64519,4.30182,2.79824
csnk1db,55.4797,46.5644,78.1734,60.2215,54.6028,37.3047,37.1053,40.4582,66.7065,70.8825,64.5987,44.1473
zgc:123307,11.4145,14.5141,13.795,13.5711,12.2018,8.8389,12.834,12.6735,18.0153,16.7252,12.6372,11.0646
GHITM,10.6125,8.08188,14.3188,13.5927,15.3779,12.3724,11.4628,11.4655,8.93039,18.0215,15.7421,16.4654
zgc:136906,3.37091,4.20878,11.6806,15.6692,16.0582,13.5265,7.29442,8.04274,9.47244,17.2837,13.624,19.0106
pts,35.1954,77.7875,75.2098,54.2839,29.8633,16.9202,25.1676,31.0221,62.1588,45.9751,24.1846,17.5277
mapk8,14.3857,12.502,11.0741,11.7694,16.115,17.9609,20.2032,11.7365,13.1247,10.7533,16.6638,16.2325
ppp4cb,28.6647,20.178,16.0327,13.9499,19.6243,21.5315,30.7402,22.028,14.578,14.7118,15.62,18.3405
zgc:158331,6.05411,4.78804,4.315,4.13498,5.21,11.3926,7.71611,5.79231,4.73584,3.62575,6.62997,9.07891
slc16a9b,12.6775,15.1998,17.3361,11.8254,7.91006,7.44676,15.8332,19.3676,20.9448,10.1663,10.438,8.90415
zgc:171763,40.0411,22.386,25.6617,30.995,44.1575,54.7497,31.5305,16.6686,32.3394,29.7976,36.1685,43.6725
kntc2l,9.46298,12.4473,15.1496,17.8844,12.3767,11.3416,9.626,13.1413,18.4638,17.4894,13.8134,11.2331
rac1,38.4446,39.1533,32.5421,30.4947,37.1781,40.4917,41.5209,35.5019,31.7466,31.5066,30.4684,32.7823
sult1st6,1.0677,0.922709,2.98743,4.72742,3.77688,1.62198,1.14721,0.436126,2.46871,3.15638,2.37299,1.48639
zgc:55344,7.68991,7.1828,7.61819,7.98474,9.09305,8.8285,6.74779,7.48425,8.22734,8.0362,9.3052,8.42787
nptx2b,44.862,30.4388,14.1129,9.72837,14.9399,21.0743,27.9836,34.8138,29.34,13.0544,17.1364,18.8508
tef,88.9019,82.1081,146.784,101.092,68.2973,55.9163,65.4893,93.1913,154.493,119.714,88.6953,62.4938
Msh2,4.31317,4.67153,5.44669,8.26175,5.06686,5.04193,3.27758,4.02065,4.81028,6.29375,6.46089,4.04456
