RefSeqID,A_11PM,A_3AM,A_7AM,A_11AM,A_3PM,A_7PM,B_11PM,B_3AM,B_7AM,B_11AM,B_3PM,B_7PM,GeneSymbol
NM_001020767,9.12465,7.41226,7.66488,5.05994,8.25277,6.83173,8.72455,6.49307,8.04558,6.37681,8.15338,5.54998,mRpL41
NM_001130597,8.11348,5.72817,2.64751,3.2114,3.78389,4.44276,4.11891,3.04871,6.98123,3.3546,6.13113,2.73775,Tram2
NM_001251831,0.847713,0.237009,0.339407,1.78706,0.729418,1.24891,0.362408,1.08593,1.14051,1.25903,1.45593,0.737464,
NM_213039,40.7104,50.5416,66.4195,35.6121,32.7043,26.7809,36.7135,58.0679,73.5322,48.2054,40.9023,35.4049,zfand5a
NM_001002744,3.29942,7.04064,5.7727,4.96602,3.98987,5.98177,4.0514,5.07979,6.91151,5.34545,4.94658,4.43214,zgc:100937
NM_001099449,3.08726,4.31496,5.31333,5.10339,5.29425,4.69637,4.50751,4.02116,5.30736,5.25946,5.64473,4.28699,Tmem2
NM_001128729,15.7494,6.67257,15.3837,3.91472,6.12172,7.51049,1.27669,5.25125,4.5904,4.31446,4.99566,4.28671,si:dkey-201c13.3
NM_131799,3.2813,1.41485,6.72689,8.31814,4.48246,2.28994,2.20136,2.98292,8.98438,7.20158,5.22879,2.71434,bcdo2l
NM_001098191,8.46687,7.2793,6.78381,6.46931,5.09801,5.10596,4.89246,5.18676,8.82101,5.33798,6.17015,5.63091,LOC100000539
NM_001098183,5.08416,2.84549,1.3128,0.938796,0.634139,1.49408,0.17694,0.553441,0.971485,0.172032,0.482962,0.276295,LOC565548
NM_001002118,9.28927,11.0708,10.546,12.5659,11.775,7.49854,13.4319,9.51309,12.4501,12.5144,11.7388,7.95166,zgc:86811
NM_001126406,0.581936,1.04174,1.1886,2.85724,0.37902,1.81348,0.263285,0.586803,0.499463,0.433486,0.390072,0.71231,marveld2b
NM_001008618,3.66456,2.23983,4.57723,15.9324,2.26368,7.4796,0.416043,3.77837,1.93085,2.0802,3.35845,2.26168,oclnb
NM_201581,3.69144,3.66005,3.98664,3.64799,3.86174,7.12976,5.76018,3.92775,3.3401,3.50296,3.6167,3.89522,gtf2h2
NM_001098190,0,0,0,0,0,0,0,0,0,0,0,0,si:ch211-214j8.1
NM_001003781,18.0274,18.9764,19.5383,18.9383,18.5409,11.0715,14.0256,17.6343,24.4141,24.2717,17.8871,13.6026,zgc:100952
NM_001045410,5.06739,4.92324,6.69177,5.75269,6.86041,6.69558,3.12826,6.07104,3.39524,5.10127,4.9906,5.53719,tmem150a
NM_001123231,13.5898,13.5456,15.2858,10.6261,14.3683,12.9409,15.5638,13.848,18.4321,15.0787,14.858,12.0397,si:ch211-102c2.6
NM_001002719,1.61069,4.21454,4.14452,5.46116,3.69244,2.52101,3.24073,1.99104,3.47635,4.80044,2.58833,2.95987,IMP4
NM_205743,8.74785,8.81309,11.047,10.75,10.1951,11.7892,10.9212,10.9452,10.594,10.6819,12.2144,9.42312,araF
NM_001002640,12.4254,16.3533,14.361,11.2769,12.1501,14.5205,18.4843,12.4434,17.5594,12.8495,15.5662,11.7721,zgc:92201
NM_194391,1.91661,3.38703,6.74856,2.56906,3.76368,2.16176,3.72596,5.01305,3.61402,1.97879,2.67072,3.32194,HDR
NM_001105584,4.90334,1.66464,3.57505,2.68039,2.89862,3.4366,1.51144,3.04223,2.85452,2.56558,2.64283,2.33349,si:dkeyp-38h2.4
NM_001076590,0,1.48944,0,0,0.547088,0,0,0.622118,0.683635,0.323089,0.324797,0.227229,zgc:114046
NM_001017660,34.4758,25.2033,34.7492,47.8735,32.511,34.4817,45.9367,80.2959,54.1951,45.1464,46.6788,43.6163,zgc:110380
NM_001080626,2.87384,1.75928,2.63899,2.32652,2.53878,2.51999,1.68692,1.96732,2.60768,1.87871,3.27668,1.46395,loxl2a
NM_205585,20.3025,24.1123,17.7987,23.2187,21.3781,17.7762,26.6819,23.8386,23.761,20.0164,19.7442,17.4075,sfrp1a
NM_001076718,0.503359,1.45365,1.57103,5.19808,0.641242,1.93487,0.697284,2.29193,1.46235,0.76389,0.949203,0.677914,adam28
NM_001080069,2.2133,1.95223,2.41793,2.27005,2.35929,3.30068,1.58264,2.44777,5.03831,1.79795,3.31983,2.86442,zgc:158437
NM_001080196,0.74946,1.51872,0.484494,1.01256,0.353649,0.523552,0.38201,0.729953,0.2852,0.0839156,0.343222,0.303813,NCAPH
NM_199759,23.6863,19.7434,18.9625,27.3802,23.5865,25.8238,17.1781,25.1509,20.0615,19.5308,20.8345,19.3598,Vamp8
NM_001143901,6.0666,6.77941,12.1928,3.14413,3.81557,12.2673,3.8984,3.77768,6.97933,4.97942,8.63607,4.33369,nelf
NM_001089515,12.2841,9.88153,10.247,8.58247,9.10804,8.96091,11.5638,12.063,10.8573,10.6985,10.6494,10.429,zgc:162228
NM_001114704,0,0,0,0,0,0,0,0,0,0,0,0,LOC100148906
NM_001005972,0,0,0,0,0,0,0,0,0,0,0,0,LOC100148906
NM_001030107,0,0,0,0,0,0,0,0,0,0,0,0,LOC100148906
NM_001089376,145.795,114.385,101.413,104.667,134.347,96.7429,136.305,152.949,125.911,152.052,172.481,136.558,si:rp71-10d23.3
NM_001013315,15.3908,21.7454,26.254,21.1817,26.6829,19.1793,21.033,19.5551,17.6789,20.2642,22.8739,20.5099,dpp7
